id,root,affix,info,pos,tense,person,possession,cases,verb_voice1,verb_voice2,verb_voice3,verb_func,impulsion,degree,copula,singular,plural,question,negative,polite,lexical_affixes,syntactical_affixes
1382,almash/yoz/kamay/uzay/ishla,(t)Tirilgandan,"",VERB,,,,Ablative,Causative,Passive,,Participle,,,,1,,,,,(t)Tir (i)l Gan,dan
619,ayt/qil/ishla,(t)Tirilgandim,"",VERB,Past,,,,Causative,Passive,,Participle,,,,,,,,,(t)Tir (i)l Gan,di m
620,ayt/qil/ishla,(t)Tirilganding,"",VERB,Past,,,,Causative,Passive,,Participle,,,,,,,,,(t)Tir (i)l Gan,di ng
621,ayt/qil/ishla,(t)Tirilgandingiz,"t+tir buladi yoki T{t/d} tir/dir bulishi mumkin",VERB,Past,,,,Causative,Passive,,Participle,,,,,,,,,(t)Tir (i)l Gan,di ngiz
1387,almash/yoz/kamay/uzay/ishla,(t)Tirilgani,"",VERB,,,,,Causative,Passive,,Participle,,,,1,,,,,(t)Tir (i)l Gan,i
1389,almash/yoz/kamay/uzay/ishla,(t)Tirilganida,"",VERB,,,,Locative,Causative,Passive,,Participle,,,,1,,,,,(t)Tir (i)l Gan,i da
1388,almash/yoz/kamay/uzay/ishla,(t)Tirilganidan,"",VERB,,,,Ablative,Causative,Passive,,Participle,,,,1,,,,,(t)Tir (i)l Gan,i dan
1390,almash/yoz/kamay/uzay/ishla,(t)Tirilganiga,"",VERB,,,,Dative,Causative,Passive,,Participle,,,,1,,,,,(t)Tir (i)l Gan,i ga
618,ayt/qil/ishla,(t)Tirilganim,"",VERB,,,,,Causative,Passive,,Participle,,,,,,,,,(t)Tir (i)l Gan,im
616,ayt/qil/ishla,(t)Tirilganing,"",VERB,,,,,Causative,Passive,,Participle,,,,,,,,,(t)Tir (i)l Gan,ing
617,ayt/qil/ishla,(t)Tirilganingiz,"",VERB,,,,,Causative,Passive,,Participle,,,,,,,,,(t)Tir (i)l Gan,ingiz
612,ayt/qil/ishla,(t)Tirilganmi,"",VERB,Past,,,,Causative,Passive,,Participle,Message,,,,,1,,,(t)Tir (i)l Gan mi,
613,ayt/qil/ishla,(t)Tirilganmidik,"",VERB,Past,,,,Causative,Passive,,Participle,Message,,,,,1,,,(t)Tir (i)l Gan mi,di k
614,ayt/qil/ishla,(t)Tirilganmiding,"",VERB,Past,,,,Causative,Passive,,Participle,Message,,,,,1,,,(t)Tir (i)l Gan mi,di ng
615,ayt/qil/ishla,(t)Tirilganmidingiz,"",VERB,Past,,,,Causative,Passive,,Participle,Message,,,,,1,,,(t)Tir (i)l Gan mi,di ngiz
1384,almash/yoz/kamay/uzay/ishla,(t)Tirilganni,"",VERB,,,,Accusative,Causative,Passive,,Participle,,,,1,,,,,(t)Tir (i)l Gan,ni
1381,almash/yoz/kamay/uzay/ishla,(t)Tirilib,"",VERB,,,,,Causative,Passive,,Adverbial,,,,,,,,,(t)Tir (i)l (i)b,
1385,almash/yoz/kamay/uzay/ishla,(t)Tirilibdi,"",VERB,,,,,Causative,Passive,,Adverbial,Message,,,,,,,,(t)Tir (i)l (i)b,di
